orderNo,userId,orderDate,itemNbr,rating
2902185149156,A901,2021-01-19T02:39:11-0800,143431194,1
2902185939563,A662,2021-01-18T22:58:33-0800,555793228,1
2902185933629,A532,2021-01-18T19:36:21-0800,641479412,4
2902185513815,A677,2021-01-18T18:47:28-0800,862129265,1
2902185020893,A863,2021-01-18T18:21:19-0800,641479412,1
2902185020893,A227,2021-01-18T18:21:19-0800,555793228,3
2892185403412,A339,2021-01-18T16:44:21-0800,862129265,5
2892185505303,A486,2021-01-18T16:44:20-0800,685251059,2
2892185608269,A193,2021-01-18T15:53:17-0800,143431194,4
2892185608724,A695,2021-01-18T15:49:03-0800,992688839,4
2892184180001,A602,2021-01-18T12:41:46-0800,748502728,5
2892184869309,A902,2021-01-18T12:07:25-0800,862129265,1
2892184446565,A181,2021-01-18T09:17:02-0800,143431194,1
2892184938913,A216,2021-01-18T08:27:16-0800,143431194,4
2892184924128,A456,2021-01-18T07:18:34-0800,242302211,5
2892184727909,A87,2021-01-18T06:22:46-0800,143431194,1
2892184900581,A214,2021-01-17T21:32:49-0800,862129265,4
2892183083484,A289,2021-01-17T17:33:56-0800,512454423,1
2882183968409,A87,2021-01-17T15:47:32-0800,143431194,1
2882183039356,A55,2021-01-17T13:24:16-0800,134602541,4
2882183242625,A454,2021-01-17T12:28:49-0800,143431194,1
2882183324146,A101,2021-01-17T12:03:20-0800,366151516,2
2882182999337,A976,2021-01-17T07:40:51-0800,265479001,3
2882182189598,A196,2021-01-17T05:38:55-0800,366151516,5
2882182189598,A2,2021-01-17T05:38:55-0800,366151516,3
2882182386227,A553,2021-01-17T05:21:19-0800,134602541,2
2882182088097,A97,2021-01-17T05:07:06-0800,366151516,4
2882182176460,A844,2021-01-16T22:23:08-0800,467283880,1
2882182770098,A437,2021-01-16T22:16:45-0800,366151516,3
2882182568218,A822,2021-01-16T22:07:43-0800,862129265,3
2882182070214,A697,2021-01-16T20:27:03-0800,787356424,5
2882182266872,A42,2021-01-16T19:45:02-0800,366151516,4
2882182559891,A526,2021-01-16T19:24:09-0800,150344047,5
2882182854180,A43,2021-01-16T19:06:01-0800,862129265,5
2882182160573,A801,2021-01-16T19:05:51-0800,366151516,3
2882182756087,A312,2021-01-16T18:12:20-0800,143431194,2
2882182851685,A896,2021-01-16T16:50:39-0800,862129265,2
2872182042018,A952,2021-01-16T16:44:23-0800,143431194,2
2872182338940,A709,2021-01-16T16:09:43-0800,862129265,5
2872182340480,A840,2021-01-16T15:48:55-0800,764384169,5
2872182633662,A157,2021-01-16T14:54:40-0800,623163064,1
2872182122291,A109,2021-01-16T13:12:49-0800,512454423,3
